text,label
zmeškaný hovor od náboráře,missed_call_from_recruiter
Nestihl jsem hovor od náboráře.,missed_call_from_recruiter
volal mi rekrutér ale nestihl jsem zvednout telefon.,missed_call_from_recruiter
Nestihl jsem hovor of rekrutujícího co s tím,missed_call_from_recruiter
Rekrutér mě na mobilu nezastihl. Mohu s tím něco udělat,missed_call_from_recruiter
zmeškaný hovor,missed_call_from_recruiter
Mám zmeškaný hovor od rekrutéra.,missed_call_from_recruiter
Neměl jsem čas zavolat rekrutérovi co mám dělat,missed_call_from_recruiter
Co když jsem nestihl zvednout telefon abych mohl mluvit s rekrutérem,missed_call_from_recruiter
Jak získat kontakt na rekrutéra abych se mohl zeptat na další kroky,missed_call_from_recruiter
Co když mi nezavolal rekrutér měl bych volat zpět,missed_call_from_recruiter
Jak zjistím co mám dělat když mi rekrutér nezanechal zprávu,missed_call_from_recruiter
Jak se mohu dozvědět více informací o náborovém procesu když jsem nemohl mluvit s rekrutérem,missed_call_from_recruiter
Může mi být udělena pokuta protože jsem nestihl hovor s rekrutérem,missed_call_from_recruiter
Co když jsem zmeškal rozhovor s rekrutérem mohu si ho domluvit znovu,missed_call_from_recruiter
cukrovku,diabetes
Mohu vstoupit do armáda i když mám cukrovku,diabetes
Můžu být voják i když mám cukrovku,diabetes
Mohu pro vás pracovat i když mám cukrovku.,diabetes
Je cukrovka problém,diabetes
Je cukrovka problém Nebo s ní mohu pracovat.,diabetes
člověk s cukrovkou.,diabetes
Mohu sloužit i když mám cukrovku,diabetes
Mohu být vojákem i když trpím cukrovkou,diabetes
Mohu se přihlásit k armáda když mám cukrovku,diabetes
Je povoleno mít cukrovku a být v armádě,diabetes
armáda přijímá lidi s cukrovkou,diabetes
Mám cukrovku mohu být přijatý do armády,diabetes
Budou mi dovoleno vstoupit do armády pokud trpím cukrovku,diabetes
Je cukrovka překážkou pro vstup do armády,diabetes
Mohu se stát vojákem pokud mám cukrovku,diabetes
Platí nějaké omezení pro přijímání lidí s cukrovkou do armáda,diabetes
Na první pokus jsem u fyzických testů neuspěl mohu si je zopakovat,repeating_physical_tests
Mohu si dát fyzické testy ještě jednou,repeating_physical_tests
fyzické testy se mi nepovedly mohu je zopakovat,repeating_physical_tests
Kolik pokusů mám na fyzické testy,repeating_physical_tests
Kolikrát si můžu dát zkoušku z fyzických testů,repeating_physical_tests
opakování fyzických testů,repeating_physical_tests
Mohu si dát fyzické testy vícekrát,repeating_physical_tests
Můžu to zkusit znova když jsem neudělal fyzické testy napoprvé,repeating_physical_tests
Je možné absolvovat fyzické testy znovu pokud nebyly poprvé splněny,repeating_physical_tests
Dá se fyzické testy opakovat když jsem je nezvládl na první pokus,repeating_physical_tests
Můžu znovu absolvovat fyzické testy když jsem neuspěl poprvé,repeating_physical_tests
Je možné opakovat fyzické testy pokud jsem je nezvládl na první pokus,repeating_physical_tests
Lze fyzické testy opakovat pokud jsem je nezvládl na první pokus,repeating_physical_tests
Je povoleno absolvovat fyzické testy znovu když jsem je nezvládl na první pokus,repeating_physical_tests
Můžu opakovat fyzické testy když jsem je neudělal na první pokus,repeating_physical_tests
Jak daleko od domova voják slouží,work_location
musím sloužit i v zahraničí:,work_location
Kde všude budu sloužit,work_location
kde budu sloužit,work_location
Budu sloužit v čechách nebo v zahraničí,work_location
V jakých zemích vojáci slouží,work_location
Jak daleko od české republiky budu sloužit,work_location
Budu bojovat v zahraničí,work_location
Kam bych šel,work_location
Které místo mi přidělíte,work_location
Kde konkrétně bych měl být umístěn,work_location
Kam bych se měl dostavit,work_location
Kam bych mohl sloužit,work_location
Kde se odehrává výcvik,location_of_physical_tests
kde bych sloužil,work_location
kde přesně budu pracovat,work_location
kam byste mě přidělili,work_location
snajpři,snipers
Chtěl bych se stát odstřelovačem jak se s něčím takovým v armáda začíná,snipers
můžu být sniper,snipers
Jak se mohu stát sniperem,snipers
Co je potřeba pro to abych se stal snajprem,snipers
Z koho se na konci výcviku stane odstřelovač,snipers
Mohu být sniper,snipers
Chci být snajpr,snipers
Kdo se může stát snajpři,snipers
Můžu být ostřelovač,snipers
Jde být snajpr,snipers
Můžu se stát členem snajperského týmu,snipers
šilhám,strabism
Je možné sloužit v armáda i se šilháním,strabism
Mám strabismus mohu být vojákem,strabism
Berete i vojáky kteří šilhají,strabism
přesto že šilhám,strabism
šilhám problém,strabism
Mohu být vojákem i když šilhám,strabism
Můžu se stát vojákem když mám šilhám,strabism
Dostanu se do armáda když šilhám,strabism
Je šilhání překážkou pro vstup do armáda,strabism
Může mít voják šilhám,strabism
Nedodělal jsem střední školu,only_elementary_school_finished
mám jen základku,only_elementary_school_finished
odchodil jsem jen základní školu,only_elementary_school_finished
Vadí že mám jen základni vzdělání,only_elementary_school_finished
Bere lidi se základním vzděláním,only_elementary_school_finished
dodělal jsem jeno základku,only_elementary_school_finished
Mohu se stát vojákem i bez střední,only_elementary_school_finished
Berete i lidi co nedokončili střední,only_elementary_school_finished
nedokončená střední škola doplnit si ho až během služby v armáda,only_elementary_school_finished
Nepovedlo se mi dodělat střední mohu i tak být voják,only_elementary_school_finished
Berete i vojáky bez vzdělání,only_elementary_school_finished
Můžu se přihlásit do armáda když jsem nedokončil základní školu,only_elementary_school_finished
Je možné vstoupit do armáda když nemám vzdělání vyšší než základní školu,only_elementary_school_finished
Dostanu se do armáda když nemám ukončenou střední školu,only_elementary_school_finished
můžu se základkou do armáda,only_elementary_school_finished
Mohu sloužit v armáda když mám dvojí občanství,dual_citizenship
stát se vojákem i když mám dvouobčanství,dual_citizenship
dvojí občanství,dual_citizenship
můžu sloužit v armádě i když mám dvojí občanství,dual_citizenship
dvojí občanství problém pro službu,dual_citizenship
Nejsem jenom čech mohu i tak sloužit české republice,dual_citizenship
Nejsem jenom češka mohu i tak sloužit,dual_citizenship
Můžu být vojak a mít dvě občanství,dual_citizenship
Je možné být vojákem s dvěma občanství,dual_citizenship
Lze sloužit v armáda s dvou občanstvím,dual_citizenship
Je možné mít dvojí občanství a být vojákem zároveň,dual_citizenship
Může mít voják dvojí občanství,dual_citizenship
Je povoleno sloužit v armáda s občanstvím v jiné zemi,dual_citizenship
Je možné být vojákem ČR a zároveň občanem jiné země,dual_citizenship
Lze sloužit v armáda pokud mám více než jedno občanství,dual_citizenship
Jak dlouho platí výsledek lékařské prohlídky z vojenské nemocnice,length_of_legitimacy_of_health_check
doba platnosti lékařské prohlídky,length_of_legitimacy_of_health_check
Kdy končí platnost zdravotní prohlídky,length_of_legitimacy_of_health_check
Jak brzo po lékařské prohlídce mi tyto údaje propadají,length_of_legitimacy_of_health_check
jaká je maximální doba platnosti prohlídky od doktora,length_of_legitimacy_of_health_check
Kdy vyprší platnost výsledků lékařské prohlídky z vojenské nemocnice,length_of_legitimacy_of_health_check
Jak dlouho platí ta lékařské prohlídky co jsem dělal pro armáda,length_of_legitimacy_of_health_check
Jaký je platnost lékařské prohlídky pro armáda,length_of_legitimacy_of_health_check
Kolik času platí lékařská prohlídka,length_of_legitimacy_of_health_check
Jak Dlouho je platná lékařská prohlídka pro vstup do ačr,length_of_legitimacy_of_health_check
Kdy vyprší platnost lékařská prohlídka pro armáda,length_of_legitimacy_of_health_check
Jaká je platnost lékařské prohlídky pro vstup do armádní služby,length_of_legitimacy_of_health_check
Pro jak dlouho platí lékařská prohlídka pro přijetí do armáda,length_of_legitimacy_of_health_check
podnikat i když sloužím jako vojačka,working_while_serving_enterpreneurship
v pořádku když mám živnost jako voják,working_while_serving_enterpreneurship
podnikat a sloužit zároveň,working_while_serving_enterpreneurship
živností během služby pro armádu,working_while_serving_enterpreneurship
podnikat,working_while_serving_enterpreneurship
můžu být živnostník v armádě,working_while_serving_enterpreneurship
Mohu pokračovat v byznysu živnosti během služby,working_while_serving_enterpreneurship
Podnikání nebo živnost během služby pro AČR.,working_while_serving_enterpreneurship
přivýdělek během služby v armáda živnost.,working_while_serving_enterpreneurship
můžu mít živnosťák jako voják,working_while_serving_enterpreneurship
musím si pozastavit živnost,working_while_serving_enterpreneurship
můžu vlastnit firmu když jsem v armádě,working_while_serving_enterpreneurship
můžu jako živnostník dělat v aktivních zálohách,working_while_serving_enterpreneurship
mám svoji firmu můžu dělat vojáka,working_while_serving_enterpreneurship
co když podnikám a chci do aktivních záloh,working_while_serving_enterpreneurship
můžu si přivydělávat bokem když jsem v az,working_while_serving_enterpreneurship
můžu být osvč,working_while_serving_enterpreneurship
můžu s živnosťákem narukovat,working_while_serving_enterpreneurship
co mám dělat když dělám na sebe,working_while_serving_enterpreneurship
mám živnostenský list,working_while_serving_enterpreneurship
policajti hasič vojačkami v aktivních zálohách,can_police_firefighters_and_others_become_active_backups
policisté hasičky AZ,can_police_firefighters_and_others_become_active_backups
policajt,can_police_firefighters_and_others_become_active_backups
hasič,can_police_firefighters_and_others_become_active_backups
sloužit v armádě i když jsem příslušníkem státní policie nebo profesionálním hasičem,can_police_firefighters_and_others_become_active_backups
Mohou se stát policisté vojákami v az,can_police_firefighters_and_others_become_active_backups
Jsem hasič mohu vstoupit do záloh,can_police_firefighters_and_others_become_active_backups
Nevzniká nejaký konflikt když jako profesionální hasič se hlásím do az,can_police_firefighters_and_others_become_active_backups
problém vstoupit do záloh jako státní policista,can_police_firefighters_and_others_become_active_backups
Mohou se příslušníci státní policie nebo profesionální hasiči stát záložákáma,can_police_firefighters_and_others_become_active_backups
můžu jak policajt být záložák,can_police_firefighters_and_others_become_active_backups
můžou hasiči do armády,can_police_firefighters_and_others_become_active_backups
jsem celník je to problém,can_police_firefighters_and_others_become_active_backups
vadí že dělám ve vězeňské službě,can_police_firefighters_and_others_become_active_backups
dělám mešťáka vadí to,can_police_firefighters_and_others_become_active_backups
můžu nastoupit do armády když jsem policista,can_police_firefighters_and_others_become_active_backups
policie čr a armáda,can_police_firefighters_and_others_become_active_backups
hasiči - můžeme do armády,can_police_firefighters_and_others_become_active_backups
můžu být voják když dělám u policie,can_police_firefighters_and_others_become_active_backups
můžu do aktivní zálohy když jsem policajt,can_police_firefighters_and_others_become_active_backups
jsem dobrovolný hasič vadí to,can_police_firefighters_and_others_become_active_backups
Jaká jsou věkové omezení pro armádu,age_upper_limit
Jaké jsou věkové hranice pro službu,age_upper_limit
Mohu sloužit i když mi je čtyřicet.,age_upper_limit
věk omezení,age_upper_limit
věk hranice,age_upper_limit
Minimální věk,age_upper_limit
Jak je službu věkem omezena,age_upper_limit
Jaká je minimální maximální věková hranice pro službu,age_upper_limit
Kolik let musím mít abych se mohl přidat do armáda,age_upper_limit
Je nutné být určitého věku aby se mohl vstoupit do armáda,age_upper_limit
Který je minimální věk pro vstup do armáda,age_upper_limit
Je možné vstoupit do armády když mi není 18,age_upper_limit
Může se někdo starší než 30 let připojit k armádě,age_upper_limit
Je limit věk pro vstup do ačr nastaven pevně nebo se může měnit,age_upper_limit
Jaký je maximální věk pro vstup do armády České republiky,age_upper_limit
Je nutné být plnoletým aby se dalo přihlásit k armádě,age_upper_limit
věkový limit pro vstup,age_upper_limit
horní limit let vojáka,age_upper_limit
Jsem po plastické operaci kolene. Mohu se i tak stát vojákem,plastic_surgery_of_the_cruciate_ligament
Jem po operaci kolene. Je to problém pro službu,plastic_surgery_of_the_cruciate_ligament
Mohu sloužit i když jsem po plastické operaci kolene,plastic_surgery_of_the_cruciate_ligament
plastické operaci kolene,plastic_surgery_of_the_cruciate_ligament
Měl jsem operaci křížového vazu v koleně. Mohu být i tak přijat,plastic_surgery_of_the_cruciate_ligament
Jsem po plastické operaci křížového vazu kolene. Jaké jsou mé šance na přijetí,plastic_surgery_of_the_cruciate_ligament
Je to problém že jsem měl plastickou operaci kolene a chci jít do armády,plastic_surgery_of_the_cruciate_ligament
Je to pro mě překážkou že jsem měl plastickou operaci kolene pokud se chci přihlásit do armády,plastic_surgery_of_the_cruciate_ligament
Mám kvůli plastické operaci kolene problém narukovat,plastic_surgery_of_the_cruciate_ligament
Může být problém že jsem prodělal plastickiu operaci křížového vazu kolene a chci být záložák,plastic_surgery_of_the_cruciate_ligament
Je to pro mě překážkou že jsem prodělal plastické operaci kolene pokud chci vstoupit do armáda,plastic_surgery_of_the_cruciate_ligament
Bude mít moje předchozí plastická operace kolene dopad na mou schopnost stát se vojákem v aČR,plastic_surgery_of_the_cruciate_ligament
vadí plastická operace kolene,plastic_surgery_of_the_cruciate_ligament
Mám hyperbilirubinemii mohu se i tak stát vojačkou,hyperbilirubinemia
hyperbilirubinemie problém pro službu v armáda,hyperbilirubinemia
sloužit jako voják s hyperbilirubinemii.,hyperbilirubinemia
hyperbilirubinemie,hyperbilirubinemia
hyperbilirubinemie zábranou pro vstup do armáda,hyperbilirubinemia
Má vůbec cenu se s diagnózou hyperbilirubinemii ucházet o službu vojáka z povolání,hyperbilirubinemia
Můžu narukovat i když mám hyperbilirubinemii,hyperbilirubinemia
Je možné být vojákem s hyperbilirubinemii,hyperbilirubinemia
Lze vstoupit do armáda s hyperbilirubinemii,hyperbilirubinemia
Může mít člověk s hyperbilirubinemii záložák,hyperbilirubinemia
Je hyperbilirubinemie překážkou pro vstup do armáda,hyperbilirubinemia
Mohu se stát vojákem i když trpím hyperbilirubinemii,hyperbilirubinemia
je hyperbilirubinemie problem,hyperbilirubinemia
UO,university_enrollment
univerzita obrany,university_enrollment
termíny a forma přihlášky ke studiu na uo,university_enrollment
přihláška na univerzitu obrany,university_enrollment
Jak funguje přihlašovací proces na UO,university_enrollment
Co musím udělat abyste mě vzali na univerzita obrany,university_enrollment
Jak vypadá přihláška na vysokou vojenskou,university_enrollment
Do kdy musím podat přihlášku na UO,university_enrollment
termíny pro přijetí na univerzitu obrany,university_enrollment
Jak se dostanu na univerzitu obrany,university_enrollment
Kam se mám přihlásit abych mohl studovat na univerzitě obrany,university_enrollment
Kde najdu informace o přihlášení na uo,university_enrollment
Co potřebuji udělat abych se mohl přihlásit na univerzitu obrany,university_enrollment
Je možné se registrovat online na univerzitu obrany,university_enrollment
Existuje nějaký formulář který musím vyplnit pro přihlášení na univerzitu obrany,university_enrollment
jak se přihlásím na univerzitu obrany,university_enrollment
kde se můžu přihlásit na uo,university_enrollment
žádná pozice neodpovídá mým zkušenostem a vzdělání,education_and_vaccated_positions
Volné pozice nejsou pro mě,education_and_vaccated_positions
Žádná z volných pozic se nehodí k mému profilu. Mám čekat až otevřete něco jiného,education_and_vaccated_positions
když žádná z pozic neodpovídá mému vzdělání,education_and_vaccated_positions
chybí volné pozice které by byly pro mě.,education_and_vaccated_positions
Nenašel jsem pozici která by mi vyhovovala. Co teď,education_and_vaccated_positions
Nenašel jsem pozici která by odpovídala mému vzdělání a praxi. Co mám dělat,education_and_vaccated_positions
Nemám tam žádnou pozici která by mi vyhovovala,education_and_vaccated_positions
Nenašel jsem tam žádnou vhodnou volnou pozici,education_and_vaccated_positions
Žádná pozice tam neodpovídá mým kvalifikacím a zkušenostem,education_and_vaccated_positions
Nemohu najít žádnou volnou pozici pro kterou bych byl kvalifikován,education_and_vaccated_positions
Nemohu najít žádnou pozici která by odpovídala mým zkušenostem a vzdělání.,education_and_vaccated_positions
žádná volná pozioce pro mě,education_and_vaccated_positions
žádná vypsaná práce není pro mě budou další,education_and_vaccated_positions
co mám dělat když žádná nabízena pozice není pro mě,education_and_vaccated_positions
Mám skoliózu,scoliosis
mohu sloužit i se skoliózou,scoliosis
Co skolióza,scoliosis
skolióza,scoliosis
Jde sloužit i se skoliózou v zádech,scoliosis
problém skolióza,scoliosis
Mohu vstoupit do ačr i když mám skoliózu,scoliosis
Mohu sloužit v armádě i když mám skoliózu,scoliosis
Můžu do armády když mám skoliózu,scoliosis
Lze narukovat s diagnózou skoliózou,scoliosis
Je možné sloužit v armádě když mám skoliózu,scoliosis
Mám šanci být přijat do armády když mám skoliózu,scoliosis
Je povoleno sloužit v armádě pokud mám skoliózu,scoliosis
Je akceptovatelné mít skoliózu a být součástí armády,scoliosis
je skolióza problém,scoliosis
vadí že mám skoliózu,scoliosis
vadí když mám skoliózu,scoliosis
můžu hulit?,vyskov_psychoactive_substances
Děláte testy na drogy,vyskov_psychoactive_substances
Budu testován na marihuanu,vyskov_psychoactive_substances
výcvik drogy,vyskov_psychoactive_substances
Musím posdtoupit test na přítomnost drog v těle,vyskov_psychoactive_substances
test na drogy,vyskov_psychoactive_substances
test na na psychoaktivní či návykové látky,vyskov_psychoactive_substances
Testujete vojáky na psychoaktivní látky,vyskov_psychoactive_substances
Testujete nějak nové vojáky na přítomnost návykových látek v těle,vyskov_psychoactive_substances
Testujou na drogy při výcviku,vyskov_psychoactive_substances
Dávaj testy na drogy,vyskov_psychoactive_substances
Je tam nějakej test na drogy,vyskov_psychoactive_substances
Prověřujou lidi na drogy,vyskov_psychoactive_substances
Kontrolujou na drogy,vyskov_psychoactive_substances
dělají se drogové testy,vyskov_psychoactive_substances
musím se nechat testovat na nějaké drogy,vyskov_psychoactive_substances
musím absolvovat protidrogové testy,vyskov_psychoactive_substances
ženy v AZ.,women_in_active_backups
v aktivní zálohách sloužit i ženy,women_in_active_backups
Do aktivní zálohy i ženy,women_in_active_backups
A co ženy Ty jsou také v zálohách,women_in_active_backups
bývají I ženy záložačky,women_in_active_backups
Jsou do aktivních záloh přijímány i ženy,women_in_active_backups
Můžou ženy být v aktivní záloze,women_in_active_backups
Jsou ženy zařazeny do aktivní zálohy,women_in_active_backups
Je možné aby byly ženy v aktivní záloze,women_in_active_backups
Patří ženy mezi členy aktivní zálohy,women_in_active_backups
Jsou aktivní zálohy otevřené i pro ženy,women_in_active_backups
psovod,free_positions
chtěl bych se stát psovod,free_positions
Jak se stanu psovodem,free_positions
potřeba na kariéru psovod,free_positions
možnost psovod,free_positions
Co musím udělat abych se stal psovodem,free_positions
Nabízíte také volné pozice psovoda,free_positions
Jak se můžu stát psovodem v aČR,free_positions
Jak se dostanu k psům v armádě,free_positions
Jak se stát psovod v armádní službě,free_positions
Co musím udělat abych mohl pracovat jako psovod,free_positions
jak se stanu psovodem,free_positions
můžu být psovod,free_positions
chci být v k9 jednotce,free_positions
Musím jako bývalý voják začínat taky ve vyškově,ex_soldiers_and_active_backups
Jak je to s bývalými profesionálními vojáky,ex_soldiers_and_active_backups
Kde začínají bývalý profesionální vojáci svou službu,ex_soldiers_and_active_backups
bývalý vojáci vyškov,ex_soldiers_and_active_backups
bývalé vojačky,ex_soldiers_and_active_backups
Je nutné jako bývalý voják z povolání také podstupovit výcvik,ex_soldiers_and_active_backups
Musí bývalí vojáci z povolání začínat službu v armáda ve vyškově,ex_soldiers_and_active_backups
co mám dělat jako bývalý voják z povolání,ex_soldiers_and_active_backups
musím jít na výcvík když jsem byl voják,ex_soldiers_and_active_backups
bývalí vojáci mají nějaké výhody,ex_soldiers_and_active_backups
už jsem byl v armáda co mám dělat,ex_soldiers_and_active_backups
funguje to jinak když už jsem byl jednou v armádě,ex_soldiers_and_active_backups
chci do aktivní zálohy jako bývalý voják,ex_soldiers_and_active_backups
musím na výcvik aktivní zálohy jako bývalý voják,ex_soldiers_and_active_backups
Jak je to s mobily ve vyškově,vyskov_and_phones
Mohu ve vyškově být na telefonu,vyskov_and_phones
telefon vyškově,vyskov_and_phones
Jsou ve vyškově povoleny mobilní telefony,vyskov_and_phones
Je používání mobilu ve vyškově nějak omezeno,vyskov_and_phones
do vyškově vzít svůj mobilní telefon Je jeho použití tam nějak omezeno,vyskov_and_phones
Můžu mít mobil na výcviku,vyskov_and_phones
Je dovoleno mít mobil na výcviku,vyskov_and_phones
Smím používat mobil během výcviku,vyskov_and_phones
Můžu si vzít telefon na cvičení,vyskov_and_phones
Je povoleno mít s sebou mobil na cvičení,vyskov_and_phones
Je možné mít s sebou mobil na vojenském výcviku,vyskov_and_phones
Mobil na vojenském výcviku ano nebo ne,vyskov_and_phones
Mohu opakovat lékařskou prohlídku,repeating_health_check
opakovat lékařskou prohlídku,repeating_health_check
Kolikrát mohu jít na zdravotní prohlídku,repeating_health_check
Je možné jít na lékařskou prohlídku více než jednou,repeating_health_check
Kolik pokusů mám na lékařskou prohlídku,repeating_health_check
Pokud neuspěju u lékařské prohlídky mám možnost ji někdy opakovat,repeating_health_check
opakování prohlídky u doktora,repeating_health_check
Dostanu druhou prohlídku u doktora pro armáda,repeating_health_check
Je možné absolvovat lékařskou prohlídku znovu pro vstup do armády,repeating_health_check
Mohu se nechat znovu vyšetřit před vstupem do ačr,repeating_health_check
Můžu znovu absolvovat lékařskou prohlídku pro vstup do ačr,repeating_health_check
Je možné podstoupit lékařskou prohlídku podruhé pro přijetí do armády,repeating_health_check
Lze absolvovat lékařskou prohlídku pro armádu podruhé,repeating_health_check
můžu znova k doktorovi,repeating_health_check
můžu projít prohlídkou znovu,repeating_health_check
Kdo vojákem či vojačkou v aktivní záloze,who_is_a_soldier_in_active_backup
Kdo patří k vojákům v az,who_is_a_soldier_in_active_backup
Kdo všechno se počítá do vojáků v aktivních zálohách,who_is_a_soldier_in_active_backup
"Koho lze považovat za „vojáka v aktivních zálohách""",who_is_a_soldier_in_active_backup
Kdo jsou vojáci v AZ,who_is_a_soldier_in_active_backup
Tým vojáků a vojaček v AZ,who_is_a_soldier_in_active_backup
Kdo to je že je v záloze voják,who_is_a_soldier_in_active_backup
Kdo vlastně je ta záloha vojáků,who_is_a_soldier_in_active_backup
Jak to funguje s těmi aktivníma zálohama,who_is_a_soldier_in_active_backup
Jaké jsou povinnosti vojáka v záloze,who_is_a_soldier_in_active_backup
Co by měl umět záložák,who_is_a_soldier_in_active_backup
Máš právo na nějaké výhody když jsi záloha,who_is_a_soldier_in_active_backup
platit univerzitu obrany když se mi nepovede,paying_for_education_in_case_failure_at_the_defense_university
s placením UO když mě vykopnou,paying_for_education_in_case_failure_at_the_defense_university
Placení univerzity obrany při neúspěchu,paying_for_education_in_case_failure_at_the_defense_university
Jsem povinnen zaplatit studium na univerzitě obrany pokud mě vyhodí,paying_for_education_in_case_failure_at_the_defense_university
platba studia v případě neúspěchu,paying_for_education_in_case_failure_at_the_defense_university
platit školné v případě neúspechu na UO,paying_for_education_in_case_failure_at_the_defense_university
placení za studium na univerzita obrany v případě neúspěchu,paying_for_education_in_case_failure_at_the_defense_university
Musím platit za univerzitu obrany když nedojdu až do konce,paying_for_education_in_case_failure_at_the_defense_university
Když nedokončím univerzitu obrany stále musím platit,paying_for_education_in_case_failure_at_the_defense_university
Je potřeba zaplatit uo pokud nedostuduji,paying_for_education_in_case_failure_at_the_defense_university
Když neudělám zkoušky na univerzitě obrany musím platit školné,paying_for_education_in_case_failure_at_the_defense_university
Platím za univerzitu obrany když nedokončím zkoušky,paying_for_education_in_case_failure_at_the_defense_university
Je nutné platit za univerzitu obrany když nedostuduju zkoušky,paying_for_education_in_case_failure_at_the_defense_university
Když neukončím studium na univerzitě stále musím platit,paying_for_education_in_case_failure_at_the_defense_university
Musím platit za univerzitu obrany když neabsolvuji všechny roky,paying_for_education_in_case_failure_at_the_defense_university
Je potřeba zaplatit univerzitu obrany i když nedokončím celé studium,paying_for_education_in_case_failure_at_the_defense_university
Co se stane s platbami za univerzitu obrany když odejdu dříve než dokončím,paying_for_education_in_case_failure_at_the_defense_university
Budu muset platit univerzitu obrany když odejdu ze školy před dokončením,paying_for_education_in_case_failure_at_the_defense_university
v létě na univerzitě obrany prázdniny,university_of_defense_vacations
Učí se i v létě,university_of_defense_vacations
Funguje univerzita obrany i v létě,university_of_defense_vacations
Musím na univerzitu obrany chodit i v létě,university_of_defense_vacations
Jak je to se studiem na univerzitě obrany v létě,university_of_defense_vacations
Má univerzita obrany letní prázdniny,university_of_defense_vacations
Vyučuje se na uo i přes letní prázdniny,university_of_defense_vacations
Je letní prázdninová pauza na univerzitě obrany,university_of_defense_vacations
univerzita obrany má v létě dovolenou,university_of_defense_vacations
Mají letní prázdniny na univerzitě obrany,university_of_defense_vacations
Bývá na univerzitě obrany volno v létě,university_of_defense_vacations
Je v létě na uo volno přes léto,university_of_defense_vacations
je na univerzitě obrany pauza přes léto,university_of_defense_vacations
bývají normálně prázdniny na UO,university_of_defense_vacations
Bohužel mám dědičnou migrénu mohu se i tak stát vojákem,heritable_migraine
dědičná migréna,heritable_migraine
Mohu sloužit i s dědičnou migrénu,heritable_migraine
Jak jsou šance na přijetí vojačky s dědičnou migrénu,heritable_migraine
Mohu bojovat i s migrénou,heritable_migraine
Trpím migrénou mám šanci sloužit jako voják z povolání,heritable_migraine
Lze narukovat s dědičnou migrénou,heritable_migraine
Je možné sloužit v armáda když mám dědičnou migrénu,heritable_migraine
Můžeš být v armádě když máš dědičnou migrénu,heritable_migraine
Dá se narukovat když trpím migrénama,heritable_migraine
Je povoleno sloužit v armáda s migrénou,heritable_migraine
Můžu se přihlásit do armáda když trpím dědičnou migrénou,heritable_migraine
co když mívám migrénu,heritable_migraine
mozková obrna,cerebral_palsy
